Taxa	HeadingDate	PlantHeight
1190801	118.5	76.33
1190802	96.5	110
1190803	87	105.25
1190804	95	88
1190805	92.5	96
1190806	94.5	89.25
1190807	102	109
1190808	98	112.33
1190809	99	86.25
1190810	100	79.75
1190811	88	92.75
1190812	87	102.5
1190813	90.25	109.5
1190814	92	110
1190815	105	82
1190816	95.5	82.75
1190817	91.75	101
1190818	90	96.75
1190819	89.67	105.33
1190820	90	104
1190821	89	100.5
1190822	90	105.25
1190823	85	88.25
1190824	89	119.25
1190825	92.25	117.75
1190826	92.25	102
1190827	92	110.75
1190828	91.5	99.75
1190829	90.25	103.5
1190903	86.5	102.75
1190904	92	103.25
1190911	100.5	106.25
1190912	106.25	93
