acc_no,origin,COUNTRY.of.origin
1190424,IND,India
1190425,IND,India
1190426,IND,India
1190427,IND,India
1190428,IND,India
1190429,IND,India
1190430,IND,India
1190431,IND,India
1190432,IND,India
1190433,IND,India
1190434,CHN,China
1190435,CHN,China
1190436,CHN,China
1190437,CHN,China
1190438,CHN,China
1190439,CHN,China
1190440,CHN,China
1190441,CHN,China
1190442,CHN,China
1190443,CHN,China
1190444,CHN,China
1190445,CHN,China
1190446,CHN,China
1190447,CHN,China
1190448,ROM,Romania
1190449,ROM,Romania
1190450,ROM,Romania
1190451,ROM,Romania
1190452,AFG,Afghanistan
1190453,AFG,Afghanistan
1190454,AFG,Afghanistan
1190455,AFG,Afghanistan
1190456,AFG,Afghanistan
1190457,AFG,Afghanistan
1190458,AFG,Afghanistan
1190459,AFG,Afghanistan
1190460,AFG,Afghanistan
1190461,AFG,Afghanistan
1190462,AFG,Afghanistan
1190463,AFG,Afghanistan
1190464,AFG,Afghanistan
1190465,AFG,Afghanistan
1190466,AFG,Afghanistan
1190467,AFG,Afghanistan
1190468,AFG,Afghanistan
1190469,AFG,Afghanistan
1190470,AFG,Afghanistan
1190471,AFG,Afghanistan
1190472,AFG,Afghanistan
1190473,AFG,Afghanistan
1190474,AFG,Afghanistan
1190475,AFG,Afghanistan
1190476,AFG,Afghanistan
1190477,PRT,Portugal
1190478,AFG,Afghanistan
1190479,POL,Poland
1190480,POL,Poland
1190481,POL,Poland
1190482,POL,Poland
1190483,POL,Poland
1190484,ITA,Italy
1190485,DZA,Algeria
1190486,SUN,USSR
1190487,SUN,USSR
1190488,SUN,USSR
1190489,SUN,USSR
1190490,FRA,France
1190491,FRA,France
1190492,ESP,Spain
1190493,TUN,Tunisia
1190494,ESP,Spain
1190495,MAR,Morocco
1190496,MAR,Morocco
1190497,MAR,Morocco
1190498,TUR,Turkey
1190499,TUR,Turkey
1190500,IRQ,Iraq
1190501,IRQ,Iraq
1190502,BUR,Burma
1190503,BUR,Burma
1190504,CHN,China
1190505,IRN,Iran
1190506,IRN,Iran
1190507,AUS,Australia
1190508,GRC,Greece
1190509,PRT,Portugal
1190510,PRT,Portugal
1190511,IND,India
1190512,IND,India
1190513,IRN,Iran
1190514,IRN,Iran
1190515,IRN,Iran
1190516,IND,India
1190517,IND,India
1190518,IND,India
1190519,IND,India
1190520,IND,India
1190521,IND,India
1190522,IND,India
1190523,IND,India
1190524,IND,India
1190525,IND,India
1190526,IND,India
1190527,IND,India
1190528,CHN,China
1190529,AFG,Afghanistan
1190530,AFG,Afghanistan
1190531,ESP,Spain
1190532,TUN,Tunisia
1190533,MAR,Morocco
1190534,MAR,Morocco
1190535,TUN,Tunisia
1190536,MAR,Morocco
1190537,TUN,Tunisia
1190538,TUN,Tunisia
1190539,ESP,Spain
1190540,ESP,Spain
1190541,ESP,Spain
1190542,ESP,Spain
1190543,ESP,Spain
1190544,ESP,Spain
1190545,ESP,Spain
1190546,ESP,Spain
1190547,ESP,Spain
1190548,ESP,Spain
1190549,ESP,Spain
1190550,ESP,Spain
1190551,ESP,Spain
1190552,CRY,Canary Islands
1190553,CRY,Canary Islands
1190554,CRY,Canary Islands
1190555,ESP,Spain
1190556,CRY,Canary Islands
1190557,CRY,Canary Islands
1190558,CRY,Canary Islands
1190559,ESP,Spain
1190560,GRC,Greece
1190561,CRT,Crete
1190562,GRC,Greece
1190563,CRT,Crete
1190564,GRC,Greece
1190565,GRC,Greece
1190566,GRC,Greece
1190567,GRC,Greece
1190568,CHN,China
1190569,GRC,Greece
1190570,GRC,Greece
1190571,TUR,Turkey
1190572,SYR,Syria
1190573,TUR,Turkey
1190574,TUR,Turkey
1190575,IRN,Iran
1190576,IRN,Iran
1190577,IRN,Iran
1190578,IRN,Iran
1190579,IRN,Iran
1190580,IRN,Iran
1190581,IRN,Iran
1190582,CHN,China
1190583,CHN,China
1190584,CHN,China
1190585,CHN,China
1190586,CHN,China
1190587,CHN,China
1190588,CHN,China
1190589,CHN,China
1190590,PRT,Portugal
1190591,PRT,Portugal
1190592,PRT,Portugal
1190593,PRT,Portugal
1190594,PRT,Portugal
1190595,PRT,Portugal
1190596,PRT,Portugal
1190597,PRT,Portugal
1190598,PRT,Portugal
1190599,PRT,Portugal
1190600,ESP,Spain
1190601,ESP,Spain
1190602,ESP,Spain
1190603,ESP,Spain
1190604,ESP,Spain
1190605,GRC,Greece
1190606,GRC,Greece
1190607,YUG,Yugoslavia
1190608,YUG,Yugoslavia
1190609,YUG,Yugoslavia
1190610,YUG,Yugoslavia
1190611,YUG,Yugoslavia
1190612,YUG,Yugoslavia
1190613,YUG,Yugoslavia
1190614,YUG,Yugoslavia
1190615,YUG,Yugoslavia
1190616,YUG,Yugoslavia
1190617,YUG,Yugoslavia
1190618,YUG,Yugoslavia
1190619,YUG,Yugoslavia
1190620,YUG,Yugoslavia
1190621,BGR,Bulgaria
1190622,BGR,Bulgaria
1190623,BGR,Bulgaria
1190624,BGR,Bulgaria
1190625,IRN,Iran
1190626,IRN,Iran
1190627,IRN,Iran
1190628,IRN,Iran
1190629,IRN,Iran
1190630,IRN,Iran
1190631,IRN,Iran
1190632,IRN,Iran
1190633,IND,India
1190634,HUN,Hungary
1190635,HUN,Hungary
1190636,TUN,Tunisia
1190637,TUR,Turkey
1190638,CRT,Crete
1190639,CRT,Crete
1190640,IRN,Iran
1190641,IND,India
1190642,IND,India
1190643,IND,India
1190644,IND,India
1190645,IND,India
1190646,IND,India
1190647,CHN,China
1190648,CHN,China
1190649,CHN,China
1190650,CHN,China
1190651,CHN,China
1190652,CHN,China
1190653,CHN,China
1190654,CHN,China
1190655,CHN,China
1190656,CHN,China
1190657,CHN,China
1190658,CHN,China
1190659,CHN,China
1190660,CHN,China
1190661,SUN,USSR
1190662,ROM,Romania
1190663,ROM,Romania
1190664,AFG,Afghanistan
1190665,AFG,Afghanistan
1190666,AFG,Afghanistan
1190667,AFG,Afghanistan
1190668,YUG,Yugoslavia
1190669,CHN,China
1190670,POL,Poland
1190671,SUN,USSR
1190672,POL,Poland
1190673,SUN,USSR
