"PC","Variance_explained","Cumulative_variance"
426,0.0490069186393488,90.7700196660904
427,0.0489438654443772,90.8189635315348
428,0.0487709636529121,90.8677344951877
429,0.048582592185472,90.9163170873732
430,0.0483218278479332,90.9646389152211
431,0.0482348903162871,91.0128738055374
432,0.0480540782823154,91.0609278838197
433,0.0480269287931356,91.1089548126129
434,0.0477083371620803,91.1566631497749
435,0.0475248257244251,91.2041879754994
436,0.0473885770661622,91.2515765525655
437,0.0471538638605828,91.2987304164261
438,0.0470598706187638,91.3457902870449
439,0.0469230873583243,91.3927133744032
440,0.0467039782546392,91.4394173526578
441,0.0465431940342958,91.4859605466921
442,0.0462276789927255,91.5321882256849
443,0.0462012701176156,91.5783894958025
444,0.0459578158262424,91.6243473116287
445,0.0457205459613806,91.6700678575901
446,0.0456675604312458,91.7157354180214
447,0.0455267997139608,91.7612622177353
448,0.0454898820540852,91.8067520997894
449,0.0451689840237675,91.8519210838132
450,0.0450715046601892,91.8969925884733
451,0.044950745984475,91.9419433344578
452,0.0448245186410036,91.9867678530988
453,0.0447417881928619,92.0315096412917
454,0.0444058852484956,92.0759155265402
455,0.0443020475091396,92.1202175740493
456,0.0440110927165228,92.1642286667658
457,0.0439824465605567,92.2082111133264
458,0.0438866225600352,92.2520977358864
459,0.0436765050451095,92.2957742409316
460,0.0435607455966251,92.3393349865282
461,0.0434841824760498,92.3828191690042
462,0.0431875038778034,92.426006672882
463,0.0431670168631385,92.4691736897452
464,0.0430670778818638,92.512240767627
465,0.0430097173383512,92.5552504849654
466,0.0426873311154149,92.5979378160808
467,0.0425105120305004,92.6404483281113
468,0.0422805827434195,92.6827289108547
469,0.0421481757671053,92.7248770866218
470,0.0420878737211646,92.766964960343
471,0.0419342556467631,92.8088992159897
472,0.0419051481149058,92.8508043641046
473,0.0416724032123768,92.892476767317
474,0.0415510501758837,92.9340278174929
475,0.0413720651207842,92.9753998826137
476,0.0413445060443888,93.0167443886581
477,0.0412183670183862,93.0579627556765
478,0.0410720213788366,93.0990347770553
479,0.0408495875689996,93.1398843646243
480,0.0407709490921539,93.1806553137164
481,0.0405990326322892,93.2212543463487
482,0.0404367257464204,93.2616910720951
483,0.0403803312002182,93.3020714032954
