"taxa","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","COUNTRY.of.origin","Region"
"1190039",-20.5632881745962,-36.6020509358343,-4.27279797025111,27.2146183382653,-8.39835560276508,1.49828300759645,6.40772010339463,3.52024640643226,-5.79301384441619,0.145005634710653,"Italy","Western/Southern Europe"
"1190040",-32.1254503312598,-5.27005068878448,12.1998830445103,53.15757543753,-21.985330020137,-2.00056352722715,14.2868542145584,-9.72058834165918,1.0229145680014,-1.06843939929781,"France","Western/Southern Europe"
"1190041",-36.7921468373603,-4.71969353990467,20.7383451063215,49.4197515993654,-26.904889508875,-13.5263987958858,9.32694689069776,-4.9920318805318,-6.95272144896849,-7.17484735418613,"France","Western/Southern Europe"
"1190042",-34.668136932972,-3.00210086592493,23.7171897533147,46.6353468473634,-27.2395738211912,-19.1081019837485,7.12438242596877,-9.10175995924196,2.72418644070301,-1.59056877024024,"France","Western/Southern Europe"
"1190043",-40.7584631166922,17.4503958799636,25.3738998371361,-13.4467852482501,5.17893621672467,10.45305755761,7.1768517387044,-6.85020219772104,-3.28725459444687,3.80681270587086,"Tunisia","North Africa"
"1190044",-32.0926669253961,19.3748468763639,15.1213259828537,-13.1179595634619,-0.929376927378534,12.8240069671896,2.91207903778881,-4.27867198291854,-3.30521320575579,-5.57013465179636,"Morocco","North Africa"
"1190045",-32.9841188384515,19.6986270966965,15.5027172642319,-13.8080867746021,-1.06713386980924,12.917005189791,2.49816096966882,-4.52355858670261,-3.56806614630151,-5.50175855445631,"Syria","Other/Unknown"
"1190046",-11.7334146980315,-11.0216703972414,-8.62773171456502,17.1302290265974,-2.31688909142115,7.29347760318896,-6.20870709364325,6.13016009254614,12.1930518535996,-8.89813141274652,"Crete","Other/Unknown"
"1190047",-33.0977698145833,0.560538943743724,24.2042204416995,0.969644746702936,-25.9553049003488,-31.5020684480376,-12.2790544162725,5.56286178413353,-5.47455593347384,-5.69522098703363,"Spain","Western/Southern Europe"
"1190048",-34.0854042497144,0.823382265163378,23.8531382626224,0.887388067409547,-26.3868823692076,-31.6869405278492,-12.9010281411422,5.07263878957602,-5.05342081532971,-5.76050928332906,"Spain","Western/Southern Europe"
"1190049",-34.3088093661315,0.591351174157419,24.130856086282,0.903938102014717,-26.7527067442172,-32.1979572088401,-12.7592699000717,5.30686936289087,-4.58012201843748,-6.00060032576429,"Spain","Western/Southern Europe"
"1190050",-35.4220319027606,1.51497000372648,7.27509503028063,26.6002124306754,-38.4325450851203,-12.4510760826232,-20.7948777295551,-32.3503966533692,35.253831784364,23.1997559010294,"Spain","Western/Southern Europe"
"1190051",-20.9464946537224,13.1644679869183,-15.7668718891625,-3.73534908612975,-8.30658139976673,-21.6723852346724,-5.85138088338938,6.82850380387319,5.80269597745253,-2.55442708025174,"Spain","Western/Southern Europe"
"1190052",-36.9473690602536,-2.78517754116743,10.1266798335315,40.9703274897475,-15.067867705467,-19.4204862487592,4.02643058376673,-14.389067598211,4.56660519239583,5.01861765421334,"Spain","Western/Southern Europe"
"1190053",-15.6706678206558,22.4136067524926,-24.6884855221687,0.584211723208533,-8.90312098150396,-21.7629285417356,-1.79134293628942,2.53137877147561,-4.71008579410739,-5.54116177164123,"Spain","Western/Southern Europe"
"1190054",-15.7185499973395,22.6694313759374,-27.9169209691549,4.21351600168371,-13.6569142026826,-20.9063857924578,1.21253454087125,0.910549596837455,0.467253101622774,-10.5835861089931,"Spain","Western/Southern Europe"
